cellI,x,y,z,V,Ux,Uy,Uz
0,0.0125603,0.00625,0.005,3.14008e-06,3.59545,0.00153802,0
1,0.0376666,0.00625,0.005,3.13649e-06,3.59068,0.0022285,0
2,0.0627442,0.00625,0.005,3.13291e-06,3.58424,0.00265136,0
3,0.0877932,0.00625,0.005,3.12933e-06,3.57676,0.00303611,0
4,0.112813,0.00625,0.005,3.12575e-06,3.56874,0.00337833,0
5,0.137805,0.00625,0.005,3.12218e-06,3.56031,0.00366812,0
6,0.162768,0.00625,0.005,3.11861e-06,3.55154,0.00391171,0
7,0.187703,0.00625,0.005,3.11504e-06,3.54247,0.00411635,0
8,0.212609,0.00625,0.005,3.11148e-06,3.53317,0.00428682,0
9,0.237487,0.00625,0.005,3.10792e-06,3.5237,0.00442637,0
10,0.262336,0.00625,0.005,3.10437e-06,3.5141,0.00453784,0
11,0.287156,0.00625,0.005,3.10082e-06,3.50442,0.00462456,0
12,0.311949,0.00625,0.005,3.09728e-06,3.49468,0.00468942,0
13,0.336713,0.00625,0.005,3.09374e-06,3.48493,0.00473419,0
14,0.361449,0.00625,0.005,3.0902e-06,3.47517,0.00476097,0
15,0.386156,0.00625,0.005,3.08667e-06,3.46544,0.0047718,0
16,0.410835,0.00625,0.005,3.08314e-06,3.45574,0.00476855,0
17,0.435486,0.00625,0.005,3.07961e-06,3.44611,0.004753,0
18,0.460109,0.00625,0.005,3.07609e-06,3.43654,0.00472679,0
19,0.484704,0.00625,0.005,3.07258e-06,3.42706,0.00469146,0
20,0.50927,0.00625,0.005,3.06906e-06,3.41766,0.00464836,0
21,0.533809,0.00625,0.005,3.06556e-06,3.40836,0.00459867,0
22,0.558319,0.00625,0.005,3.06205e-06,3.39917,0.00454346,0
23,0.582802,0.00625,0.005,3.05855e-06,3.39008,0.00448368,0
24,0.607256,0.00625,0.005,3.05505e-06,3.3811,0.00442018,0
25,0.631683,0.00625,0.005,3.05156e-06,3.37223,0.00435362,0
26,0.656081,0.00625,0.005,3.04807e-06,3.36348,0.00428461,0
27,0.680452,0.00625,0.005,3.04459e-06,3.35484,0.00421368,0
28,0.704795,0.00625,0.005,3.04111e-06,3.34632,0.00414132,0
29,0.72911,0.00625,0.005,3.03763e-06,3.33792,0.00406797,0
30,0.753397,0.00625,0.005,3.03416e-06,3.32963,0.00399398,0
31,0.777656,0.00625,0.005,3.03069e-06,3.32146,0.00391967,0
32,0.801888,0.00625,0.005,3.02723e-06,3.31341,0.0038453,0
33,0.826092,0.00625,0.005,3.02377e-06,3.30548,0.00377109,0
34,0.850268,0.00625,0.005,3.02031e-06,3.29765,0.00369725,0
35,0.874417,0.00625,0.005,3.01686e-06,3.28995,0.00362391,0
36,0.898538,0.00625,0.005,3.01341e-06,3.28235,0.00355118,0
37,0.922631,0.00625,0.005,3.00996e-06,3.27487,0.00347918,0
38,0.946697,0.00625,0.005,3.00652e-06,3.2675,0.00340796,0
